team_name,team_id
USC,1
UCLA,2
UC Berkeley,3
Stanford,4
California Baptist,5
Long Beach State,6
LMU,7
Pepperdine,8
San Jose State,9
Santa Clara,10
UC Davis,11
UC Irvine,12
UC San Diego,13
UCSB,14
George Washington,15
Navy,16
Harvard,17
Princeton,18
Fordham,19
Iona,20
Saint Francis,21
Wagner,22
Bucknell,23
La Salle,24
Brown,25
Pacific,26
Air Force,27
UC-San Diego,13
University of California Santa Barbara,14
California,3
Princeton University,18
Cal Baptist,5
Long Beach St.,6
San Jose State University,9
California Baptist University,5
Bucknell University,23
UCSD,13
Brown University,25
San Jose St.,9
University of Southern California,1
Fordham University,19
Stanford University,4
Pepperdine University,8
Wagner College,22
Santa Clara University,10
Long Beach,6
Cal,3
University of the Pacific,26
UC Santa Barbara,14
Long Beach State University,6
University of California-Los Angeles,2
University of California-Santa Barbara,14
University of California-San Diego,13
University of California-Davis,11
George Washington University,15
United States Naval Academy,16
United States Air Force Academy,27
Harvard University,17
Loyola Marymount University,7
University of California-Irvine,12
University of California,3
Long Beach St,6
SJSU Spartans,9
UCI,12
CBU,5
Iona University,20
southern-california,1
San José State,9
Iona College,20
Loyola Marymount,7
University of California Irvine,12
University of California Davis,11
Loyola-Marymount,7
UC-Santa Barbara,14
Southern California, 1
Air Force Academy, 27
Southern Cal, 1
UC-Irvine,12
Cal-Baptist, 5




